Generated Pairs (packet, event):
1 1 CSPP01 S8CST402 D
1 1 CSPP01 S8CST402 C
1 1 CSPP01 S8CST444 D
1 1 CSPP01 S8CST444 C
1 1 CSPP01 S8CST446 D
1 1 CSPP01 S8CST446 C
1 1 CSPP01 S8CST428 D
1 1 CSPP01 S8CST428 C
1 1 CSPP01 S8CST404 D
1 1 CSPP01 S8CST404 C
1 1 CSPP01 S8CST404 D
1 1 CSPP01 S8CST404 C
1 1 CSAP01 S8CST402 D
1 1 CSAP01 S8CST402 C
1 1 CSAP01 S8CST444 D
1 1 CSAP01 S8CST444 C
1 1 CSAP01 S8CST446 D
1 1 CSAP01 S8CST446 C
1 1 CSAP01 S8CST428 D
1 1 CSAP01 S8CST428 C
1 1 CSAP01 S8CST404 D
1 1 CSAP01 S8CST404 C
1 1 CSAP01 S8CST404 D
1 1 CSAP01 S8CST404 C
1 1 CSAA01 S8CST402 D
1 1 CSAA01 S8CST402 C
1 1 CSAA01 S8CST444 D
1 1 CSAA01 S8CST444 C
1 1 CSAA01 S8CST446 D
1 1 CSAA01 S8CST446 C
1 1 CSAA01 S8CST428 D
1 1 CSAA01 S8CST428 C
1 1 CSAA01 S8CST404 D
1 1 CSAA01 S8CST404 C
1 1 CSAA01 S8CST404 D
1 1 CSAA01 S8CST404 C
1 1 CSAA02 S8CST402 D
1 1 CSAA02 S8CST402 C
1 1 CSAA02 S8CST444 D
1 1 CSAA02 S8CST444 C
1 1 CSAA02 S8CST446 D
1 1 CSAA02 S8CST446 C
1 1 CSAA02 S8CST428 D
1 1 CSAA02 S8CST428 C
1 1 CSAA02 S8CST404 D
1 1 CSAA02 S8CST404 C
1 1 CSAA02 S8CST404 D
1 1 CSAA02 S8CST404 C
1 1 CSAA03 S8CST402 D
1 1 CSAA03 S8CST402 C
1 1 CSAA03 S8CST444 D
1 1 CSAA03 S8CST444 C
1 1 CSAA03 S8CST446 D
1 1 CSAA03 S8CST446 C
1 1 CSAA03 S8CST428 D
1 1 CSAA03 S8CST428 C
1 1 CSAA03 S8CST404 D
1 1 CSAA03 S8CST404 C
1 1 CSAA03 S8CST404 D
1 1 CSAA03 S8CST404 C
1 1 CSAA04 S8CST402 D
1 1 CSAA04 S8CST402 C
1 1 CSAA04 S8CST444 D
1 1 CSAA04 S8CST444 C
1 1 CSAA04 S8CST446 D
1 1 CSAA04 S8CST446 C
1 1 CSAA04 S8CST428 D
1 1 CSAA04 S8CST428 C
1 1 CSAA04 S8CST404 D
1 1 CSAA04 S8CST404 C
1 1 CSAA04 S8CST404 D
1 1 CSAA04 S8CST404 C
1 1 CSAA05 S8CST402 D
1 1 CSAA05 S8CST402 C
1 1 CSAA05 S8CST444 D
1 1 CSAA05 S8CST444 C
1 1 CSAA05 S8CST446 D
